,0
CentralAir_Y,0.06836950816451833
OverallCond,0.05525375902629657
GarageYrBlt,0.05008565088972735
YearBuilt,0.043286091982228526
BedroomAbvGr,0.02473361012964158
MSZoning_RL,0.018271629135086596
1stFlrSF,0.014854704036097604
HalfBath,0.011707372481727433
ExterQual_TA,0.0112903716778265
FullBath,0.011136720371682821
GarageType_Attchd,0.010653823144008376
MSSubClass,0.007885660612196586
PavedDrive_Y,0.003095899624605462
BsmtFullBath,0.001051170648574039
Fireplaces,0.0008382997450960634
YearRemodAdd,0.0006032169770247524
SalePrice,1.7387450255028345e-05
Street_Pave,0.0
GrLivArea,0.0
2ndFlrSF,-0.0
LowQualFinSF,0.0
BsmtFinSF2,0.0
BsmtUnfSF,-0.0
BsmtFinSF1,0.0
BsmtHalfBath,0.0
GarageCars,-0.0
GarageArea,-0.0
WoodDeckSF,0.0
EnclosedPorch,-0.0
ScreenPorch,0.0
3SsnPorch,0.0
TotRmsAbvGrd,0.0
KitchenAbvGr,0.0
LotShape_IR3,-0.0
PoolArea,0.0
MoSold,-0.0
MiscVal,-0.0
YrSold,-0.0
MSZoning_FV,0.0
MSZoning_RH,0.0
MSZoning_RM,-0.0
LandContour_HLS,-0.0
Alley_Nenhum,0.0
Alley_Pave,0.0
LotShape_IR2,0.0
TotalBsmtSF,0.0
LotArea,-0.0
OverallQual,0.0
LotFrontage,0.0
Condition1_Feedr,-0.0
Condition1_Norm,0.0
LotConfig_CulDSac,-0.0
LotConfig_FR2,0.0
LotConfig_FR3,0.0
LotConfig_Inside,-0.0
LandSlope_Mod,-0.0
LandSlope_Sev,-0.0
Neighborhood_Blueste,0.0
Neighborhood_BrDale,-0.0
Neighborhood_BrkSide,-0.0
Neighborhood_ClearCr,0.0
Neighborhood_CollgCr,0.0
Neighborhood_Crawfor,0.0
Neighborhood_Edwards,-0.0
Neighborhood_Gilbert,0.0
Neighborhood_IDOTRR,-0.0
Neighborhood_MeadowV,-0.0
Neighborhood_Mitchel,0.0
Neighborhood_NAmes,0.0
Neighborhood_NPkVill,0.0
Neighborhood_NWAmes,0.0
Neighborhood_NoRidge,-0.0
Neighborhood_NridgHt,-0.0
Neighborhood_OldTown,-0.0
Neighborhood_SWISU,0.0
Neighborhood_Sawyer,0.0
Neighborhood_SawyerW,0.0
Neighborhood_Somerst,-0.0
Neighborhood_StoneBr,-0.0
Neighborhood_Timber,-0.0
Neighborhood_Veenker,-0.0
HouseStyle_1.5Unf,-0.0
HouseStyle_1Story,-0.0
Condition1_PosA,0.0
Condition1_PosN,0.0
Condition1_RRAe,0.0
Condition1_RRAn,0.0
Condition1_RRNe,0.0
Condition1_RRNn,-0.0
Condition2_Feedr,-0.0
Condition2_Norm,0.0
Condition2_RRAn,0.0
Condition2_RRNn,-0.0
BldgType_2fmCon,0.0
BldgType_Duplex,0.0
BldgType_Twnhs,-0.0
BldgType_TwnhsE,0.0
RoofStyle_Gambrel,-0.0
RoofStyle_Hip,-0.0
HouseStyle_2.5Fin,0.0
HouseStyle_2.5Unf,0.0
HouseStyle_2Story,-0.0
HouseStyle_SFoyer,0.0
HouseStyle_SLvl,0.0
RoofStyle_Gable,0.0
RoofMatl_Tar&Grv,0.0
RoofMatl_WdShake,0.0
RoofStyle_Mansard,-0.0
RoofMatl_Roll,0.0
LandContour_Low,-0.0
LotShape_Reg,-0.0
Utilities_NoSeWa,0.0
LandContour_Lvl,0.0
HeatingQC_Fa,-0.0
Heating_OthW,0.0
Exterior1st_BrkComm,-0.0
RoofMatl_WdShngl,0.0
Exterior1st_ImStucc,0.0
Exterior1st_BrkFace,-0.0
Exterior1st_CemntBd,-0.0
Exterior1st_CBlock,-0.0
Exterior1st_Stucco,0.0
Exterior1st_VinylSd,0.0
Exterior1st_Wd Sdng,-0.0
Exterior1st_WdShing,0.0
Exterior2nd_AsphShn,0.0
Exterior1st_MetalSd,0.0
Exterior1st_Plywood,0.0
Exterior1st_HdBoard,0.0
Exterior2nd_CBlock,-0.0
Exterior2nd_CmentBd,-0.0
Exterior2nd_ImStucc,0.0
Exterior2nd_HdBoard,0.0
Exterior2nd_Plywood,0.0
Exterior2nd_Stone,-0.0
Exterior2nd_Stucco,0.0
Exterior2nd_MetalSd,0.0
Exterior2nd_VinylSd,-0.0
Exterior2nd_Wd Sdng,-0.0
MasVnrType_BrkFace,0.0
Exterior2nd_Wd Shng,0.0
MasVnrType_Nenhum,-0.0
Exterior2nd_Brk Cmn,-0.0
Exterior2nd_BrkFace,-0.0
Exterior1st_Stone,-0.0
ExterCond_Fa,-0.0
ExterCond_Gd,-0.0
ExterCond_Po,0.0
ExterCond_TA,0.0
Foundation_CBlock,0.0
Foundation_PConc,0.0
Foundation_Stone,-0.0
Foundation_Wood,0.0
BsmtQual_Fa,-0.0
BsmtQual_Gd,0.0
BsmtQual_TA,-0.0
BsmtCond_Gd,0.0
BsmtCond_Po,-0.0
BsmtCond_TA,0.0
BsmtExposure_Gd,-0.0
BsmtExposure_Mn,-0.0
BsmtExposure_Nenhum,0.0
BsmtExposure_No,0.0
BsmtFinType1_BLQ,-0.0
BsmtFinType1_GLQ,0.0
