Feature,Importancia
SalePrice,0.9981859098962425
OpenPorchSF,0.0003599866951306776
Neighborhood_IDOTRR,0.0002685780598723105
LotFrontage,0.00019050105827386865
MoSold,0.00015364674029675775
YrSold,0.00012598106638934923
1stFlrSF,9.781066274393e-05
Fence_Nenhum,6.403315685145317e-05
BsmtUnfSF,6.310193452802441e-05
KitchenQual_Fa,5.663214660554437e-05
LandContour_Lvl,4.923476838058488e-05
BsmtExposure_No,4.141118397672304e-05
EnclosedPorch,3.129839526808046e-05
GrLivArea,3.0178882884160235e-05
LandSlope_Mod,2.9346169689233435e-05
GarageType_Detchd,2.4771076785334456e-05
BedroomAbvGr,2.0256954936061223e-05
OverallQual,1.9995501752993264e-05
YearBuilt,1.724264992482161e-05
HeatingQC_TA,1.5605930893712453e-05
Condition1_Norm,1.487224585004842e-05
Exterior1st_Wd Sdng,1.3992209062538544e-05
RoofStyle_Gable,1.2374812205537588e-05
LotArea,8.000872583329077e-06
Condition1_Feedr,7.679125461875178e-06
TotalBsmtSF,7.2631779042078395e-06
GarageYrBlt,6.04387476361888e-06
ExterCond_Fa,5.81837558490084e-06
YearRemodAdd,5.366719081321753e-06
BsmtCond_TA,5.231611075093005e-06
GarageArea,4.902476468344297e-06
WoodDeckSF,4.589284512734031e-06
Exterior1st_MetalSd,3.908180831030125e-06
BsmtFinType1_Unf,3.870699716395019e-06
ExterQual_Fa,3.153761663670665e-06
MSZoning_RL,3.1363599541973014e-06
BsmtFinSF1,2.867013064762749e-06
Heating_Grav,2.319036009424798e-06
TotRmsAbvGrd,2.178444387403505e-06
Exterior2nd_MetalSd,2.1653644767862595e-06
2ndFlrSF,2.021665326760761e-06
HouseStyle_1Story,1.8681946335360106e-06
MSSubClass,1.7958624703983162e-06
Exterior1st_CemntBd,1.4863344639561857e-06
BsmtExposure_Gd,1.484291507817556e-06
GarageQual_Fa,1.4625942924134504e-06
OverallCond,1.3221936890877201e-06
Neighborhood_MeadowV,1.2263842469272915e-06
MasVnrArea,1.1547321487062547e-06
PavedDrive_Y,1.110831760165377e-06
BsmtQual_TA,1.0435418322985844e-06
Exterior2nd_CmentBd,9.875298029417621e-07
LotShape_Reg,9.792611585484765e-07
BsmtQual_Fa,9.690369260560474e-07
GarageCond_Nenhum,9.280347303726115e-07
GarageCond_TA,7.69557472714291e-07
BsmtExposure_Mn,7.25276573237979e-07
MSZoning_RM,7.146111914080925e-07
SaleCondition_Normal,6.532813247914082e-07
GarageCars,6.193533748787406e-07
Neighborhood_CollgCr,5.70264495619443e-07
Exterior2nd_Wd Sdng,5.05440314247889e-07
MSZoning_FV,4.677309454601087e-07
CentralAir_Y,4.652004011646108e-07
HeatingQC_Fa,4.0359073150150887e-07
FireplaceQu_TA,4.0056945606120997e-07
Electrical_SBrkr,3.973611718781007e-07
ExterCond_TA,3.880590230479428e-07
HeatingQC_Gd,3.3926002311969604e-07
Foundation_CBlock,3.294090619272314e-07
BsmtFullBath,3.109207962605417e-07
HouseStyle_2Story,2.943061725210476e-07
BsmtQual_Gd,2.707231661287433e-07
GarageFinish_RFn,2.7031898284244347e-07
LotConfig_Inside,2.675452739111852e-07
Neighborhood_OldTown,2.576913045217857e-07
HalfBath,2.5188553487518156e-07
KitchenQual_Gd,2.489958056693072e-07
FireplaceQu_Gd,2.4443758237804976e-07
GarageFinish_Unf,2.3081649727826975e-07
SaleType_WD,2.203271217365211e-07
KitchenQual_TA,2.051789517263063e-07
BsmtFinType1_Rec,1.8388241849454038e-07
Fireplaces,1.6408927519975835e-07
Exterior2nd_HdBoard,1.6231179428557544e-07
GarageCond_Fa,1.6218032470723693e-07
FireplaceQu_Nenhum,1.4933224537058543e-07
BsmtFinType1_GLQ,1.4787255510034785e-07
Exterior2nd_VinylSd,1.443108631083574e-07
Functional_Typ,1.4206271320089788e-07
Exterior1st_VinylSd,1.3616480788707758e-07
RoofStyle_Hip,1.3419833449940813e-07
MasVnrType_BrkFace,1.2910466268969812e-07
GarageType_BuiltIn,1.174819648607153e-07
BsmtFinType1_BLQ,1.1586212056673289e-07
ExterQual_Gd,1.1019896656542857e-07
GarageType_Attchd,1.035137420330166e-07
Neighborhood_NridgHt,1.034044932976343e-07
MasVnrType_Stone,1.0106138938107163e-07
Foundation_PConc,9.853361462019677e-08
ExterQual_TA,9.627202737160751e-08
ScreenPorch,9.401410491485865e-08
Neighborhood_Edwards,9.166214665646495e-08
MasVnrType_Nenhum,9.121283805360516e-08
Neighborhood_NoRidge,8.926904571182863e-08
SaleType_New,8.913727721434998e-08
GarageQual_TA,8.884640255985477e-08
Neighborhood_NAmes,7.110908903655586e-08
ExterCond_Gd,6.77425633393273e-08
Exterior1st_HdBoard,6.639384501634006e-08
BsmtCond_Gd,5.90983325880025e-08
Fence_MnPrv,5.851415684974173e-08
Neighborhood_Somerst,4.8926531986694954e-08
BsmtFinType2_Unf,4.789403455555496e-08
KitchenAbvGr,4.786630918615693e-08
LotConfig_CulDSac,4.37749708449126e-08
Exterior2nd_Plywood,4.134452366143732e-08
Neighborhood_BrkSide,4.021963928199091e-08
BsmtFinType1_LwQ,3.966604045623775e-08
HouseStyle_1.5Unf,3.7740671624698165e-08
BsmtFinSF2,3.75647908283268e-08
GarageType_Nenhum,3.7514791963190696e-08
SaleCondition_Partial,3.193566474426805e-08
Neighborhood_Sawyer,3.0283404154930734e-08
BsmtHalfBath,2.993126569002325e-08
FullBath,2.6089747642773347e-08
BldgType_2fmCon,2.242011129363046e-08
BldgType_TwnhsE,1.9050818399582914e-08
GarageQual_Nenhum,1.822498015837042e-08
SaleCondition_Family,1.7399883224678827e-08
Alley_Nenhum,1.378127435934829e-08
MiscFeature_Shed,1.1404648650229318e-08
Neighborhood_Gilbert,1.085781933414221e-08
Fence_GdWo,1.0188070459736637e-08
Exterior1st_Plywood,9.852063404629359e-09
Neighborhood_SawyerW,9.338405526172386e-09
Heating_GasW,8.303150215384719e-09
GarageFinish_Nenhum,4.4221263944316406e-09
HouseStyle_SLvl,3.4466835476002157e-09
BsmtFinType2_LwQ,2.0697358466999566e-09
LotConfig_FR2,1.9001017753706884e-09
GarageType_Basment,1.8283806999918362e-09
Neighborhood_NPkVill,1.2125373231018763e-09
LowQualFinSF,1.1070107050666094e-09
BsmtFinType2_BLQ,7.99439663775407e-10
Neighborhood_Mitchel,7.334812068658457e-10
HouseStyle_SFoyer,6.829062987169115e-10
MSZoning_RH,6.376275136079114e-10
Condition1_RRAn,5.10504200912698e-10
LandContour_HLS,2.4901955665629814e-10
Neighborhood_NWAmes,2.0653636759878516e-10
Exterior2nd_Wd Shng,2.0447754932906964e-10
3SsnPorch,2.0307197274369653e-10
Exterior1st_BrkFace,1.7374994760482272e-10
Functional_Min1,1.2454645234213198e-11
MiscVal,8.173415270678643e-12
MiscFeature_Nenhum,2.430536692470893e-12
LotShape_IR3,0.0
Alley_Pave,0.0
PoolArea,0.0
Street_Pave,0.0
LotShape_IR2,0.0
Condition1_PosN,0.0
Condition1_RRAe,0.0
Condition1_RRNn,0.0
Neighborhood_SWISU,0.0
LotConfig_FR3,0.0
LandSlope_Sev,0.0
Utilities_NoSeWa,0.0
Neighborhood_Crawfor,0.0
Neighborhood_Blueste,0.0
Neighborhood_BrDale,0.0
Neighborhood_ClearCr,0.0
Neighborhood_Timber,0.0
Neighborhood_StoneBr,0.0
Neighborhood_Veenker,0.0
LandContour_Low,0.0
Exterior1st_BrkComm,0.0
RoofMatl_WdShngl,0.0
RoofMatl_WdShake,0.0
RoofMatl_Tar&Grv,0.0
RoofMatl_Roll,0.0
RoofStyle_Mansard,0.0
RoofStyle_Gambrel,0.0
HouseStyle_2.5Fin,0.0
HouseStyle_2.5Unf,0.0
Condition1_RRNe,0.0
Condition2_Feedr,0.0
Condition2_Norm,0.0
Condition2_RRNn,0.0
Condition2_RRAn,0.0
BldgType_Duplex,0.0
BldgType_Twnhs,0.0
Condition1_PosA,0.0
Exterior1st_Stucco,0.0
Exterior1st_ImStucc,0.0
Exterior1st_Stone,0.0
Exterior2nd_CBlock,0.0
Foundation_Stone,0.0
ExterCond_Po,0.0
BsmtCond_Po,0.0
Exterior1st_CBlock,0.0
Exterior2nd_BrkFace,0.0
Exterior2nd_Brk Cmn,0.0
Exterior2nd_AsphShn,0.0
Exterior1st_WdShing,0.0
Exterior2nd_Stucco,0.0
Exterior2nd_ImStucc,0.0
Exterior2nd_Stone,0.0
Heating_OthW,0.0
BsmtFinType2_Rec,0.0
BsmtFinType2_GLQ,0.0
BsmtExposure_Nenhum,0.0
Foundation_Wood,0.0
GarageQual_Gd,0.0
FireplaceQu_Po,0.0
GarageType_CarPort,0.0
Electrical_FuseF,0.0
Electrical_FuseP,0.0
HeatingQC_Po,0.0
FireplaceQu_Fa,0.0
Electrical_Mix,0.0
Functional_Maj2,0.0
Functional_Min2,0.0
Functional_Mod,0.0
Fence_MnWw,0.0
PavedDrive_P,0.0
PoolQC_Gd,0.0
PoolQC_Nenhum,0.0
GarageCond_Gd,0.0
GarageQual_Po,0.0
GarageCond_Po,0.0
MiscFeature_Othr,0.0
SaleType_ConLw,0.0
SaleType_ConLI,0.0
SaleType_ConLD,0.0
SaleType_Con,0.0
SaleType_CWD,0.0
SaleType_Oth,0.0
SaleCondition_AdjLand,0.0
SaleCondition_Alloca,0.0
